machine_id,hostname,os,FAILED_LOGIN,SUCCESSFUL_LOGIN,AUTHENTICATION_FAILURE,SUDO_COMMAND,PRIVILEGE_ESCALATION,FILE_MODIFIED,FILE_DELETED,USB_CONNECTED,DEFENDER_ALERT,PASSWORD_CHANGED,USER_CREATED,USER_DELETED,KERNEL_EVENT,TOTAL_EVENTS,HIGH_EVENTS,CRITICAL_EVENTS,UNIQUE_USERS,UNIQUE_SOURCE_IPS,LABEL
machine_id,hostname,os,FAILED_LOGIN,SUCCESSFUL_LOGIN,AUTHENTICATION_FAILURE,SUDO_COMMAND,PRIVILEGE_ESCALATION,FILE_MODIFIED,FILE_DELETED,USB_CONNECTED,DEFENDER_ALERT,PASSWORD_CHANGED,USER_CREATED,USER_DELETED,KERNEL_EVENT,TOTAL_EVENT,HIGH_EVENT,CRITICAL_EVENT,UNIQUE_USER,UNIQUE_SOURCE_IPS,LABEL
M001,SRV-ALPHA,Linux,2,18,2,6,0,12,1,0,0,0,0,0,3,44,0,0,5,2,NORMAL
M002,SRV-BETA,Linux,1,15,1,4,0,8,0,1,0,0,0,0,2,32,0,0,4,1,NORMAL
M003,WS-001,Windows,0,22,0,1,0,6,0,1,0,0,0,0,1,30,0,0,2,1,NORMAL
M004,WS-002,Windows,3,20,3,2,0,4,0,0,1,0,0,0,2,36,1,0,3,1,NORMAL
M005,VM-001,Linux,4,14,4,5,0,7,0,0,0,0,0,0,2,36,0,0,4,2,NORMAL
M006,SRV-GAMMA,Linux,48,1,48,2,0,1,0,0,0,0,0,0,4,105,8,2,1,12,BRUTE_FORCE
M007,SRV-DELTA,Linux,52,0,52,1,0,0,0,0,0,0,0,0,3,108,9,3,1,15,BRUTE_FORCE
M008,WS-003,Windows,44,2,44,0,0,0,0,0,1,0,0,0,2,95,7,2,1,10,BRUTE_FORCE
M009,SRV-EPSILON,Linux,61,1,61,1,0,0,0,0,0,0,0,0,4,124,10,4,1,18,BRUTE_FORCE
M010,VM-002,Linux,55,0,55,2,0,1,0,0,0,0,0,0,3,116,9,3,1,14,BRUTE_FORCE
M011,WS-004,Windows,2,19,2,3,0,8,0,1,0,0,0,0,1,36,0,0,2,1,NORMAL
M012,SRV-ZETA,Linux,1,17,1,5,0,10,1,0,0,0,0,0,2,37,0,0,3,2,NORMAL
M013,WS-005,Windows,49,1,49,0,0,0,0,0,1,0,0,0,2,102,8,2,1,11,BRUTE_FORCE
M014,VM-003,Linux,3,16,3,4,0,6,0,0,0,0,0,0,2,34,0,0,3,2,NORMAL
M015,SRV-ETA,Linux,57,0,57,1,0,0,0,0,0,0,0,0,4,118,9,3,1,16,BRUTE_FORCE
M016,WS-006,Windows,2,21,2,2,0,5,0,1,0,0,0,0,1,34,0,0,2,1,NORMAL
M017,SRV-THETA,Linux,5,13,5,6,0,9,1,0,0,0,0,0,3,42,0,0,4,2,NORMAL
M018,SRV-IOTA,Linux,65,0,65,1,0,0,0,0,0,0,0,0,5,132,11,4,1,19,BRUTE_FORCE
M019,WS-007,Windows,1,20,1,2,0,4,0,1,0,0,0,0,1,30,0,0,2,1,NORMAL
M020,SRV-KAPPA,Linux,59,1,59,2,0,1,0,0,0,0,0,0,4,126,10,3,1,17,BRUTE_FORCE
